,y,x
4784,spam,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or å£10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+"
3810,ham,Excellent! Wish we were together right now!
900,ham,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
2725,ham,No. But we'll do medical missions to nigeria
1608,ham,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?
4378,ham,How are you. Just checking up on you
1071,spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only
2255,ham,I just lov this line: \Hurt me with the truth
2757,ham,Yo we are watching a movie on netflix
4376,ham,How much is torch in 9ja.
3077,ham,Okay but i thought you were the expert
1516,ham,I need to come home and give you some good lovin...
4575,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066
4610,ham,Wat time Ì_ finish?
1038,ham,"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM"
4505,ham,When are you guys leaving?
5043,ham,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor..."
4714,ham,S:)8 min to go for lunch:)
2881,ham,Hi Harish's rent has been transfred to ur Acnt.
1921,ham,No current and food here. I am alone also
5446,ham,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?
3707,spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
4535,ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
99,ham,Please don't text me anymore. I have nothing else to say.
4492,ham,"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!"
4700,ham,I liked the new mobile
1315,ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
460,ham,Where did u go? My phone is gonna die you have to stay in here
1143,ham,And is there a way you can send shade's stuff to her. And she has been wonderful too.
1032,ham,HAPPY NEW YEAR MY NO.1 MAN
4297,spam,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
3501,ham,I will come to ur home now
312,ham,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
1859,ham,What's up. Do you want me to come online?
3637,spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622"
4263,ham,She just broke down a list of reasons why nobody's in town and I can't tell if she's being sarcastic or just faggy
4349,ham,Yes. Rent is very expensive so its the way we save.
4106,spam,"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
2782,ham,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you
1196,ham,What he said is not the matter. My mind saying some other matter is there.
2294,spam,You have 1 new message. Please call 08718738034.
4744,spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
2359,spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic"
796,spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa"
172,ham,What time you coming down later? 
4911,ham,I am on the way to tirupur.
1446,ham,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.
1461,ham,Kinda. First one gets in at twelve! Aah. Speak tomo
3682,ham,When did i use soc... I use it only at home... ÌÏ dunno how 2 type it in word ar...
3867,ham,"not that I know of, most people up here are still out of town"
1895,ham,"Uh, heads up we don't have THAT much left"
4257,ham,I am late. I will be there at
3213,ham,"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?"
5017,ham,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?
3333,ham,"That's fine, have him give me a call if he knows what he wants or has any questions"
5127,ham,Cuz ibored. And don wanna study
328,ham,"Cool, text me when you're parked"
467,ham,When are you going to ride your bike?
882,ham,I love to give massages. I use lots of baby oil... What is your fave position?
1123,ham,Good morning princess! How are you?
3712,ham,If i not meeting Ì_ all rite then i'll go home lor. If Ì_ dun feel like comin it's ok.
5041,spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.
42,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
5164,spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
543,ham,4 oclock at mine. Just to bash out a flat plan.
3258,spam,"Congratulations! Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate"
1479,ham,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
2877,spam,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX"
4045,spam,Win a å£1000 cash prize or a prize worth å£5000
3857,ham,R u still working now?
2004,ham,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min."
4852,ham,I'm fine. Hope you are also
3278,ham,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant."
5071,spam,WIN a å£200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 å£1.50perweeksub.
2891,ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
4407,ham,Take care and sleep well.you need to learn to change in life.you only need to get CONVINCED on that.i will wait but no more conversations between us.GET CONVINCED by that time.Your family is over for you in many senses.respect them but not overemphasise.or u have no role in my life.
3812,ham,Pls i wont belive god.not only jesus.
2673,ham,"Good afternoon, my boytoy ... How are you feeling today ? Better I hope? Are you being my good boy? Are you my obedient, slave? Do you please your Queen?"
1864,ham,You call him now ok i said call him
1147,ham,Ok... Help me ask if she's working tmr a not?
3819,ham,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm"
3976,spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
949,ham,Is that what time you want me to come?
2397,ham,Neshanth..tel me who r u?
364,ham,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always"
1968,ham,2 laptop... I noe infra but too slow lar... I wan fast one
3100,ham,Pathaya enketa maraikara pa'
1068,spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU
4667,ham,IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO 
324,ham,No problem. How are you doing?
814,spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT"
5142,ham,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.
774,ham,Just sleeping..and surfing
660,ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
5301,ham,At WHAT TIME should i come tomorrow
610,spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
4512,spam,Money i have won wining number 946 wot do i do next
2985,spam,Reply to win å£100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service
338,ham,"Sorry, I'll call later"
1981,ham,"Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt; "
5014,ham,I think the other two still need to get cash but we can def be ready by 9
881,ham,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training."
5184,ham,I'm in town now so i'll jus take mrt down later.
3317,ham,I'm freezing and craving ice. Fml
3837,ham,Went to pay rent. So i had to go to the bank to authorise the payment.
2386,ham,No message..no responce..what happend?
4709,ham,Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-)
3922,ham,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?
4126,ham,"Sorry, I'll call later"
639,ham,I had askd u a question some hours before. Its answer
4928,spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
5367,ham,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates
3231,ham,Guess he wants alone time. We could just show up and watch when they do..
1609,ham,You all ready for * big day tomorrow?
4382,ham,No need lar i go engin? Cos my sis at arts today...
3478,ham,Be sure to check your yahoo email. We sent photos yesterday
4224,ham,"\The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!\"""
1773,ham,"I'm not coming over, do whatever you want"
1108,ham,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-)
1098,ham,NO GIFTS!! You trying to get me to throw myself off a cliff or something?
3879,ham,Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x
2525,ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
2821,spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.
4579,ham,Hi ....My engagement has been fixd on  &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.
4047,ham,Lol or I could just starve and lose a pound by the end of the day.
2127,ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
3224,ham,I need... Coz i never go before 
869,spam,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
84,ham,Yup next stop.
382,ham,Hey leave it. not a big deal:-) take care.
4098,ham,If u dun drive then how i go 2 sch.
3846,spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play å£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088"
1776,spam,Call FREEPHONE 0800 542 0578 now!
4037,ham,Hope you are not scared!
255,ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out
3076,ham,There is no sense in my foot and penis.
2005,ham,Can't take any major roles in community outreach. You rock mel
4615,ham,ÌÏ called dad oredi...
463,ham,"Sorry, I'll call later ok bye"
554,ham,IÛ÷ll have a look at the frying pan in case itÛ÷s cheap or a book perhaps. No thatÛ÷s silly a frying pan isnÛ÷t likely to be a book
5377,spam,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270
609,ham,"It's fine, imma get a drink or somethin. Want me to come find you?"
226,spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
4033,ham,Wot u up 2? Thout u were gonna call me!! Txt bak luv K
3757,ham,Lol no ouch but wish i'd stayed out a bit longer
2027,ham,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch
601,ham,If u sending her home first it's ok lor. I'm not ready yet.
4080,ham,Hurry home. Soup is DONE!
3449,ham,Ya just telling abt tht incident..
4609,ham,Just glad to be talking to you.
1979,ham,Shhhhh nobody is supposed to know!
1513,ham,Hows the champ just leaving glasgow!
2396,ham,Well you told others you'd marry them...
4184,ham,I'm good. Have you registered to vote?
5055,ham,Goodnight da thangam I really miss u dear.
205,ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...
2233,ham,Good Morning plz call me sir
1158,ham,Hey! There's veggie pizza... :/
2767,ham,Wow v v impressed. Have funs shopping!
432,spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
4580,ham,Not course. Only maths one day one chapter with in one month we can finish.
597,spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
2907,ham,Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.
4214,ham,No dear i was sleeping :-P
1862,ham,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed."
5136,ham,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?
4995,ham,Happy new year. Hope you are having a good semester
3903,spam,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05
2815,ham,Genius what's up. How your brother. Pls send his number to my skype.
3710,ham,"Sorry pa, i dont knw who ru pa?"
605,ham,TaKe CaRE n gET WeLL sOOn
3539,ham,"I'll get there at 3, unless you guys want me to come some time sooner"
2160,ham,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.
5006,ham,Oh k. . I will come tomorrow
2132,spam,Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528
514,spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
923,ham,She went to attend another two rounds today..but still did't reach home..
950,ham,"Awesome, lemme know whenever you're around"
4427,ham,Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...
1707,ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.
4171,ham,"Sorry, I'll call later"
5547,spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records."
4071,spam,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
4176,ham,Ok lor then we go tog lor...
1014,ham,"Ya, told..she was asking wats matter?"
631,ham,Thank u!
4077,ham,Gam gone after outstanding innings.
4825,ham,"Haha, just what I was thinkin"
4211,spam,Missed call alert. These numbers called but left no message. 07008009200
1361,ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
1005,ham,Give me a sec to think think about it
82,ham,Ok i am on the way to home hi hi
5193,ham,"It's wylie, you in tampa or sarasota?"
2750,ham,Ok but tell me half an hr b4 u come i need 2 prepare.
650,ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
1799,ham,"If we hit it off, you can move in with me :)"
35,ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am
2168,ham,Thx. All will be well in a few months
13,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
5428,ham,You didnt complete your gist oh.
4247,spam,"accordingly. I repeat, just text the word ok on your mobile phone and send"
4896,ham,I cant pick the phone right now. Pls send a message
5255,ham,Ok... Sweet dreams...
3431,spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
2006,ham,Shopping lor. Them raining mah hard 2 leave orchard.
5300,ham,I can't make it tonight
5266,ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN
1476,ham,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
2468,ham,Lol well don't do it without me. We could have a big sale together.
3420,spam,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M
2775,ham,We confirm eating at esplanade?
4916,spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate"
3958,ham,Have a nice day my dear.
366,spam,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q="
2944,ham,"Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe"
623,ham,"sorry, no, have got few things to do. may be in pub later."
406,ham,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?
2746,ham,K da:)how many page you want?
1578,ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..
370,ham,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
104,ham,Umma my life and vava umma love you lot dear
946,spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
4254,spam,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just å£5 by replying GET BBDELUXE and take the challenge
3914,ham,Ard 530 lor. I ok then message Ì_ lor.
4809,ham,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday"
367,spam,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
344,ham,My sister cleared two round in birla soft yesterday.
4425,ham,Was it something u ate?
4996,ham,Esplanade lor. Where else...
2154,ham,Oh god i am happy to see your message after 3 days
3260,ham,Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...
1328,ham,My exam is for february 4. Wish you a great day.
5461,ham,Ok i thk i got it. Then u wan me 2 come now or wat?
5218,ham,I accidentally brought em home in the box
4943,ham,Wrong phone! This phone! I answer this one but assume the other is people i don't well
2872,ham,I dont understand your message.
1952,ham,Nah im goin 2 the wrks with j wot bout u?
2199,ham,Not sure I have the stomach for it ...
1687,spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
4290,ham,Call me when u're done...
2391,ham,PICK UR FONE UP NOW U DUMB?
128,ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
3706,ham,Aight do you still want to get money
4566,ham,But you were together so you should be thinkin about him
3884,ham,Like a personal sized or what
4236,ham,Life style garments account no please.
3967,ham,Did u turn on the heater? The heater was on and set to &lt;#&gt; degrees.
5351,ham,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...
1408,ham,"I've got ten bucks, jay is being noncomittal"
2172,ham,Yavnt tried yet and never played original either
5098,spam,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!"
5460,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
2965,ham,"Are you being good, baby? :)"
1677,ham,Lol where do u come up with these ideas?
3680,ham,LOL what happens in Vegas stays in vegas
2888,ham,My battery is low babe
3479,ham,What was she looking for?
2443,ham,&lt;#&gt;  great loxahatchee xmas tree burning update: you can totally see stars here
3814,ham,"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u.."
3510,ham,I'm serious. You are in the money base
2072,ham,That is wondarfull song
671,spam,SMS. ac sun0819 posts HELLO:\You seem cool
2789,ham,When you are big..| God will bring success.
3556,ham,I had it already..sabarish asked me to go..
4794,ham,Saw Guys and Dolls last night with Patrick Swayze it was great
1155,ham,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up"
4611,ham,Sorry da. I gone mad so many pending works what to do.
4073,ham,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol
2945,ham,make that 3! 4 fucks sake?! x
2716,ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
1467,ham,I wont touch you with out your permission.
614,ham,I called and said all to him:)then he have to choose this future.
2212,ham,"This is one of the days you have a billion classes, right?"
1651,ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...
697,ham,meet you in corporation st outside gap Û_ you can see how my mind is working!
4239,ham,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe"
2285,ham,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do"
4358,ham,ÌÏ only send me the contents page...
3000,spam,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only
2919,ham,"Thanx 4 the time weåÕve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx"
3032,ham,"Aight, lemme know what's up"
5441,ham,"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x"
3272,ham,Just finished eating. Got u a plate. NOT leftovers this time.
261,ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
675,ham,"I dont knw pa, i just drink milk.."
2339,ham,Cheers for the message Zogtorius. IåÕve been staring at my phone for an age deciding whether to text or not.
41,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
4692,ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
2425,ham,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!
5452,ham,What???? Hello wats talks email address?
1439,ham,In fact when do you leave? I think addie goes back to school tues or wed
5166,ham,Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.
1478,ham,I think its far more than that but find out. Check google maps for a place from your dorm.
5144,ham,I'm in office now da:)where are you?
3552,ham,Din i tell u jus now 420
3328,ham,Sac will score big hundred.he is set batsman:-)
5515,ham,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.
4664,ham,Ok set let u noe e details later...
5049,ham,I will vote for wherever my heart guides me
256,ham,Mmm so yummy babe ... Nice jolt to the suzy
2410,ham,Ok... Thanx... Gd nite 2 Ì_ too...
445,ham,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?"
624,ham,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash"
2893,ham,K...k...yesterday i was in cbe .
3156,ham,Havent shopping now lor i juz arrive only
1926,ham,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!"
4136,ham,Just got to  &lt;#&gt;
152,ham,Ok... Ur typical reply...
1756,ham,Lmao ok I wont be needing u to do my hair anymore.
2618,ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
2454,ham,Left dessert. U wan me 2 go suntec look 4 u?
4299,ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there."
1755,ham,Really good:)dhanush rocks once again:)
2074,ham,Yar lor actually we quite fast... Cos da ge slow wat... Haha...
3763,ham,Would me smoking you out help us work through this difficult time
638,ham,"What will we do in the shower, baby?"
1533,ham,Horrible bf... I now v hungry...
4658,ham,I cant pick the phone right now. Pls send a message
2545,ham,So are you guys asking that i get that slippers again or its gone with last year
2704,spam,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!
3935,ham,They r giving a second chance to rahul dengra.
3918,ham,I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!
630,ham,Please dont say like that. Hi hi hi
2740,ham,Nothing. Can...
3292,ham,A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die
3302,ham,"It'll be tough, but I'll do what I have to"
5058,spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674
4599,ham,Hi did u decide wot 2 get 4 his bday if not ill prob jus get him a voucher frm virgin or sumfing 
1356,ham,U ned to convince him tht its not possible witot hurting his feeling its the main
4105,ham,K then 2marrow are you coming to class.
323,ham,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
621,ham,Good words.... But words may leave u in dismay many times.
447,ham,I wont get concentration dear you know you are my mind and everything :-)
1908,ham,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u 
795,ham,it's really getting me down just hanging around.
1464,ham,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
265,ham,Same. Wana plan a trip sometme then
3331,ham,Ok... The theory test? when are Ì_ going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free
2824,spam,"Congratulations - Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate"
5530,ham,I think that tantrum's finished so yeah I'll be by at some point
663,ham,Leave it de:-). Start Prepare for next:-)..
3326,ham, what number do u live at? Is it 11?
1645,ham,I.ll post her out l8r. In class
1534,ham,Remember on that day..
103,ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
3259,ham,I'm always looking for an excuse to be in the city.
2660,ham,Want to finally have lunch today?
2150,ham,"The table's occupied, I'm waiting by the tree"
2119,ham,I hope you know I'm still mad at you.
3399,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589"
3148,ham,"Sorry,  in meeting I'll call you later"
977,ham,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing
