,sent,title,year,author
597,"This woman was the basis for the character named ""Mardou"" in the novel The Subterraneans.",,,Jack Kerouac
312,"King Leopold's Soliloquy is a stinging political satire about his private colony, the Congo Free State.",,,Mark Twain
210,"His next work was The Gilded Age: A Tale of Today, his first attempt at writing a novel.",,,Mark Twain
64,"Upon returning to the United States, Twain was offered honorary membership in Yale University's secret society Scroll and Key in 1868.",,,Mark Twain
548,Carr dumped the body in the Hudson River.,,,Jack Kerouac
826,=,,,J.K. Rowling
215,=,,,Mark Twain
160,Twain formed a club in 1906 for girls whom he viewed as surrogate granddaughters called the Angel Fish and Aquarium Club.,,,Mark Twain
126,"In mid-1900, he was the guest of newspaper proprietor Hugh Gilzean-Reid at Dollis Hill House, located on the north side of London.",,,Mark Twain
529,"While at Columbia, Kerouac wrote several sports articles for the student newspaper, the Columbia Daily Spectator, and joined the Phi Gamma Delta fraternity.",,,Jack Kerouac
573,This allowed him to type continuously without the interruption of reloading pages.,,,Jack Kerouac
1190,"Short Stories from Hogwarts of Heroism, Hardship and Dangerous Hobbies (6 September 2016)
",,,J.K. Rowling
132,"=

Twain was in great demand as a featured speaker, performing solo humorous talks similar to modern stand-up comedy.",,,Mark Twain
281,"==
",,,Mark Twain
195,"Afterwards, Fitch told him:

Clemens, your lecture was magnificent.",,,Mark Twain
298,"It should, it seems to me, be our pleasure and duty to make those people free, and let them deal with their own domestic questions in their own way.",,,Mark Twain
741,"In 1997, the house on Clouser Avenue where The Dharma Bums was written was purchased by a newly formed non-profit group, The Jack Kerouac Writers in Residence Project of Orlando, Inc.",,,Jack Kerouac
639,"Thrasonical Yawning in the Abattoir of the Soul: ""A gaping, rabid congregation, eager to bathe, are washed over by the Font of Euphoria, and bask like protozoans in the celebrated light.",,,Jack Kerouac
197,Never in my entire life have I listened to such a magnificent piece of descriptive narration.,,,Mark Twain
670,"His cause of death was listed as an internal hemorrhage (bleeding esophageal varices) caused by cirrhosis, the result of longtime alcohol abuse.",,,Jack Kerouac
1078,"The cards were collated and sold for charity in book form in August 2008.
",,,J.K. Rowling
1209,"The First It Girl: J. K. Rowling reviews Decca: the Letters by Jessica Mitford"".",,,J.K. Rowling
236,"In it, he also explains that ""Mark Twain"" was the call made when the boat was in safe water, indicating a depth of two fathoms (12 feet or 3.7 metres).


",,,Mark Twain
366,"To the Person Sitting in Darkness, and deals with examples of imperialism in China, South Africa, and with the U.S. occupation of the Philippines.",,,Mark Twain
722,"Additionally, Kerouac admired Joyce's experimental use of language, as seen in his novel Visions of Cody, which uses an unconventional narrative as well as a multiplicity of authorial voices.


",,,Jack Kerouac
619,"""I'm beat to my socks"", he had said.",,,Jack Kerouac
481,"He is considered a literary iconoclast and, alongside William S. Burroughs and Allen Ginsberg, a pioneer of the Beat Generation.",,,Jack Kerouac
421,"Sellers never published another paragraph nor ever used his nom de guerre again.


",,,Mark Twain
73,"They had three daughters: Susy (1872–1896), Clara (1874–1962), and Jean (1880–1909).

",,,Mark Twain
1232,"Rowling, J. K. (17 December 2014).",,,J.K. Rowling
945,"The film version of Harry Potter and the Prisoner of Azkaban was released on 4 June 2004, directed by Alfonso Cuarón.",,,J.K. Rowling
1147,It is not difficult to guess which newspaper Rowling gives him to read [in Goblet of Fire].,,,J.K. Rowling
98,"He lost the bulk of his book profits, as well as a substantial portion of his wife's inheritance.
",,,Mark Twain
207,"On June 8, 1867, he set sail on the pleasure cruiser Quaker City for five months, and this trip resulted in The Innocents Abroad or The New Pilgrims' Progress.",,,Mark Twain
682,"The central features of this writing method were the ideas of breath (borrowed from Jazz and from Buddhist meditation breathing), improvising words over the inherent structures of mind and language, and limited revision.",,,Jack Kerouac
373,"In 1900 and again in 1908 he stated, ""I like Joan of Arc best of all my books, it is the best"".
",,,Mark Twain
267,"The Mysterious Stranger is perhaps the best known, depicting various visits of Satan to earth.",,,Mark Twain
673,"At the time of his death, he was living with his third wife, Stella Sampas Kerouac, and his mother Gabrielle.",,,Jack Kerouac
227,The last fifth of Huckleberry Finn is subject to much controversy.,,,Mark Twain
583,"According to Kerouac, On the Road ""was really a story about two Catholic buddies roaming the country in search of God.",,,Jack Kerouac
944,Both films were directed by Chris Columbus.,,,J.K. Rowling
620,"Kerouac's fame came as an unmanageable surge that would ultimately be his undoing.
",,,Jack Kerouac
34,"Twain studied the Mississippi, learning its landmarks, how to navigate its currents effectively, and how to read the river and its constantly shifting channels, reefs, submerged snags, and rocks that would ""tear the life out of the strongest vessel that ever floated"".",,,Mark Twain
964,"In September 2013, Warner Bros. announced an ""expanded creative partnership"" with Rowling, based on a planned series of films about Newt Scamander, author of Fantastic Beasts and Where to Find Them.",,,J.K. Rowling
1073,"In April 2009, she announced that she was withdrawing her support for Multiple Sclerosis Society Scotland, citing her inability to resolve an ongoing feud between the organisation's northern and southern branches that had sapped morale and led to several resignations.


",,,J.K. Rowling
359,"In the essay Three Statements of the Eighties in the 1880s, Twain stated that he believed in an almighty God, but not in any messages, revelations, holy scriptures such as the Bible, Providence, or retribution in the afterlife.",,,Mark Twain
789,= Discography,,,Jack Kerouac
1141,"In 2001, the Press Complaints Commission upheld a complaint by Rowling over a series of unauthorised photographs of her with her daughter on the beach in Mauritius published in OK! magazine.",,,J.K. Rowling
179,"Officials in Connecticut and New York estimated the value of Twain's estate at $471,000 ($12,000,000 today).


",,,Mark Twain
1032,Rowling confirmed that the next novel's title is Lethal White.,,,J.K. Rowling
270,"The resulting confusion led to extensive publication of a jumbled version, and only recently have the original versions become available as Twain wrote them.
",,,Mark Twain
462,"Jumping Frogs: Undiscovered, Rediscovered, and",,,Mark Twain
202,"His first important work was ""The Celebrated Jumping Frog of Calaveras County,"" published in the New York Saturday Press on November 18, 1865.",,,Mark Twain
414,The pilots thought it was brilliant.,,,Mark Twain
771,"In much of his poetry, to achieve a jazz-like rhythm, Kerouac made use of the long dash in place of a period.",,,Jack Kerouac
1120,"==

Over the years, some religious people, particularly Christians, have decried Rowling's books for supposedly promoting witchcraft.",,,J.K. Rowling
841,"Her mother's paternal grandfather, Louis Volant, was French, and was awarded the Croix de Guerre for exceptional bravery in defending the village of Courcelles-le-Comte during the First World War.",,,J.K. Rowling
953,Warner Bros. took considerable notice of Rowling's desires and thoughts when drafting her contract.,,,J.K. Rowling
792,"(1959)
Blues and Haikus (with Al Cohn and Zoot Sims)",,,Jack Kerouac
768,"Kerouac said that he wanted ""to be considered as a jazz poet blowing a long blues in an afternoon jazz session on Sunday."".",,,Jack Kerouac
192,"He credited Fitch with giving him his ""first really profitable lesson"" in writing.",,,Mark Twain
149,"Eventually, he received legal advice to register a copyright in Canada (for both Canada and Britain) prior to publishing in the United States, which would restrain the Canadian publishers from printing a version when the American edition was published.",,,Mark Twain
668,"He received several transfusions in an attempt to make up for the loss of blood, and doctors subsequently attempted surgery, but a damaged liver prevented his blood from clotting.",,,Jack Kerouac
832,She calls herself Jo.,,,J.K. Rowling
1072,"In 2003, Rowling took part in a campaign to establish a national standard of care for MS sufferers.",,,J.K. Rowling
806,"The definitive key to the 600+ characters in Kerouac's novels.
",,,Jack Kerouac
1091,= Influences,,,J.K. Rowling
42,"At the start of hostilities, he enlisted briefly in a local Confederate unit.",,,Mark Twain
703,"The novella, completed in five days in Mexico during December 1952, is a telling example of Kerouac's attempts at writing in his first language, a language he often called Canuck French.",,,Jack Kerouac
813,"They have become the best-selling book series in history and been the basis for a series of films, over which Rowling had overall approval on the scripts and was a producer on the final films in the series.
",,,J.K. Rowling
1019,"Judith ""Jude"" Callegari was the best friend of the wife of Chris Gossage, a partner within Russells Solicitors, Rowling's legal representatives.",,,J.K. Rowling
9,"Twain earned a great deal of money from his writings and lectures, but he invested in ventures that lost most of it—notably the Paige Compositor, a mechanical typesetter that failed because of its complexity and imprecision.",,,Mark Twain
1128,"Later, she started to attend again at a church in Edinburgh.
",,,J.K. Rowling
1227,"""The Single Mother's Manifesto"".",,,J.K. Rowling
508,"Kerouac was referred to as Ti Jean or little John around the house during his childhood.
",,,Jack Kerouac
1226,(14 April 2010).,,,J.K. Rowling
589,"And once he has found Him, the Godhood of God is forever Established and really must not be spoken about.""",,,Jack Kerouac
923,"372,775 copies of the book were sold in its first day in the UK, almost equalling the number Prisoner of Azkaban sold during its first year.",,,J.K. Rowling
594,He often experienced episodes of heavy drinking and depression.,,,Jack Kerouac
410,"In his autobiography, Twain writes further of Captain Sellers' use of ""Mark Twain"":

I was a cub pilot on the Mississippi River then, and one day I wrote a rude and crude satire which was leveled at Captain Isaiah Sellers, the oldest steamboat pilot on the Mississippi River, and the most respected, esteemed, and revered.",,,Mark Twain
715,"The Diamond Sutra was the most important Buddhist text for Kerouac, and ""probably one of the three or four most influential things he ever read"".",,,Jack Kerouac
726,This is especially so with members of the band,,,Jack Kerouac
974,"In 2001, Rowling purchased a 19th-century estate house, Killiechassie House, on the banks of the River Tay, near Aberfeldy, in Perth and Kinross.",,,J.K. Rowling
549,"Afterwards, Carr sought help from Kerouac.",,,Jack Kerouac
748,Gone – Kerouac's Big Sur was released.,,,Jack Kerouac
647,"Kerouac felt he'd been conspicuously ripped off by Route 66 creator Stirling Silliphant and sought to sue him, CBS, the Screen Gems TV production company, and sponsor Chevrolet, but was somehow counseled against proceeding with what looked like a very potent cause of action.
",,,Jack Kerouac
1156,"""


== Legal disputes ==

Rowling, her publishers, and Time Warner, the owner of the rights to the Harry Potter films, have taken numerous legal actions to protect their copyright.",,,J.K. Rowling
828,"=
",,,J.K. Rowling
977,"She was named the most highly paid author in the world with earnings of £72 million ($95 million) a year by Forbes magazine in 2017.


",,,J.K. Rowling
696,Some believed that at times Kerouac's writing technique did not produce lively or energetic prose.,,,Jack Kerouac
1040,"During a news conference at Hollywood's Kodak Theatre in 2007, Rowling, when asked how the encyclopaedia was coming along, said, ""It's not coming along, and I haven't started writing it.",,,J.K. Rowling
686,Kerouac greatly admired and was influenced by Gary Snyder.,,,Jack Kerouac
690,"That summer, Kerouac took a job as a fire lookout on Desolation Peak in the North Cascades in Washington, after hearing Snyder's and Whalen's stories of working as fire spotters.",,,Jack Kerouac
966,"In 2016, it was announced that the series would consist of five films, with the second scheduled for release in November 2018.


",,,J.K. Rowling
577,"Though the work was completed quickly, Kerouac had a long and difficult time finding a publisher.",,,Jack Kerouac
1148,"""",,,J.K. Rowling
515,"Recently, a whole volume of previously unpublished works originally written in French by Kerouac was published as La vie est d'hommage, edited by Professor Jean-Christophe Cloutier.
",,,Jack Kerouac
219,"The book also introduces Huckleberry Finn in a supporting role, based on Twain's boyhood friend Tom Blankenship.
",,,Mark Twain
1229,"Rowling, J. K. (30 November 2012).",,,J.K. Rowling
779,"By far the more significant is Scroll, a transcription of the original draft typed as one long paragraph on sheets of tracing paper which Kerouac taped together to form a 120-foot (37 m) scroll.",,,Jack Kerouac
1237,"""Woman's Hour Takeover"".",,,J.K. Rowling
877,"In 1990, while she was on a four-hour-delayed train trip from Manchester to London, the idea for a story of a young boy attending a school of wizardry ""came fully formed"" into her mind.
",,,J.K. Rowling
858,"Like many teenagers, she became interested in pop music, listening to the Clash, the Smiths and Siouxsie Sioux and adopted the look of the latter with back-combed hair and black eyeliner;",,,J.K. Rowling
427,"In 1882, he sent a photograph of himself in a white suit to 18-year-old Edward W. Bok, later publisher of the Ladies Home Journal, with a handwritten dated note.",,,Mark Twain
699,"Although the body of Kerouac's work has been published in English, recent research has shown that, in addition to his poetry and letters to friends and family, he also wrote unpublished works of fiction in French.",,,Jack Kerouac
1210,"The Daily Telegraph.
",,,J.K. Rowling
24,"His father was an attorney and judge, who died of pneumonia in 1847, when Twain was 11.",,,Mark Twain
263,"He places emphasis on concision, utility of word choice, and realism; he complains, for example, that Cooper's Deerslayer purports to be realistic but has several shortcomings.",,,Mark Twain
684,"As such, the phrases occurring between dashes might resemble improvisational jazz licks.",,,Jack Kerouac
32,"As Twain describes it, the pilot's prestige exceeded that of the captain.",,,Mark Twain
930,"The sixth book, Harry Potter and the Half-Blood Prince, was released on 16 July 2005.","Harry Potter and the Half-Blood Prince",2005,J.K. Rowling
415,"They were jealous of Sellers, because when the gray-heads among them pleased their vanity by detailing in the hearing of the younger craftsmen marvels which they had seen in the long ago on the river, Sellers was always likely to step in at the psychological moment and snuff them out with wonders of his own which made their small marvels look pale and sick.",,,Mark Twain
305,"From 1901, soon after his return from Europe, until his death in 1910, Twain was vice-president of the American Anti-Imperialist League, which opposed the annexation of the Philippines by the United States and had ""tens of thousands of members"".",,,Mark Twain
76,"In 1874, Susan had a study built apart from the main house so that Twain would have a quiet place in which to write.",,,Mark Twain
1025,"In 2015, Rowling stated on Galbraith's website that the third Cormoran Strike novel would include ""an insane amount of planning, the most I have done for any book I have written so far.",,,J.K. Rowling
576,"In fact, according to his Columbia professor and mentor Mark Van Doren, he had outlined much of the work in his journals over the several preceding years.
",,,Jack Kerouac
455,Free Online –,,,Mark Twain
272,"Some archivists and compilers have rearranged the biography into a more conventional form, thereby eliminating some of Twain's humor and the flow of the book.",,,Mark Twain
793,"(1959)
Readings by Jack Kerouac on the Beat Generation (1960)


=== Compilation albums ===
The Jack Kerouac Collection (1990) [Box] (Audio CD collection of three studio albums)
Jack Kerouac Reads On the Road (1999)


=",,,Jack Kerouac
130,"In January 1901, he began serving as vice-president of the Anti-Imperialist League of New York.


",,,Mark Twain
763,= Bibliography and Works,,,Jack Kerouac
1206,"Bloomsbury.
",,,J.K. Rowling
950,"David Yates directed again, and Kloves returned to write the script.",,,J.K. Rowling
675,"He was honored posthumously with a Doctor of Letters degree from his hometown University of Massachusetts Lowell on 2 June 2007.


",,,Jack Kerouac
1013,"Within days of Rowling being revealed as the author, sales of the book rose by 4,000%, and Little Brown printed another 140,000 copies to meet the increase in demand.",,,J.K. Rowling
339,"In his later travelogue Following the Equator (1897), Twain observes that in colonized lands all over the world, ""savages"" have always been wronged by ""whites"" in the most merciless ways, such as ""robbery, humiliation, and slow, slow murder, through poverty and the white man's whiskey""; his conclusion is that ""there are many humorous things in this world; among them the white man's notion that he is less savage than the other savages"".",,,Mark Twain
562,"His friends jokingly called him ""The Wizard of Ozone Park"", alluding to Thomas Edison's nickname, ""the Wizard of Menlo Park"", and to the film The Wizard of Oz.


",,,Jack Kerouac
1043,"At the end of 2007, Rowling said that the encyclopaedia could take up to ten years to complete.
",,,J.K. Rowling
925,Rowling said that she had had a crisis while writing the novel and had to rewrite one chapter many times to fix a problem with the plot.,,,J.K. Rowling
563,=,,,Jack Kerouac
1223,"The 2009 Time 100"".",,,J.K. Rowling
732,"In My Tribe
",,,Jack Kerouac
284,"And not a pale, characterless Sansculotte, but a Marat.


",,,Mark Twain
989,=,,,J.K. Rowling
367,"A subsequent article, ""To My Missionary Critics"" published in The North American Review in April 1901, unapologetically continues his attack, but with the focus shifted from Ament to his missionary superiors, the American Board of Commissioners for Foreign Missions.
",To My Missionary Critics,1901.0,Mark Twain
90,"This type of storyline became a common feature of the science fiction subgenre alternate history.
",,,Mark Twain
1185,Quidditch Through the Ages (supplement to the Harry Potter series),,,J.K. Rowling
889,"Biographers have suggested that Rowling suffered domestic abuse during her marriage, although the extent is unknown.",,,J.K. Rowling
521,"He recalled ""a whole bunch of rabbis walking arm in arm ...",,,Jack Kerouac
1240,= Filmography,,,J.K. Rowling
591,"In the spring of 1951, while pregnant, Joan Haverty left and divorced Kerouac.",,,Jack Kerouac
447,"Mark Twain's Library of Humor (anthology)
Steamboats of the Mississippi
Territorial Enterprise (newspaper)
Warsaw Signal (newspaper)


== References",,,Mark Twain
506,This is the Gerard of Kerouac's novel Visions of Gerard.,,,Jack Kerouac
894,"Her illness inspired the characters known as Dementors, soul-sucking creatures introduced in the third book.",,,J.K. Rowling
1,"Among his novels are The Adventures of Tom Sawyer (1875) and its sequel, the Adventures of Huckleberry Finn (1885), the latter often called ""The Great American Novel"".
",,,Mark Twain
867,"In 1982, Rowling took the entrance exams for Oxford University but was not accepted and earned a BA in French and Classics at the University of Exeter.",,,J.K. Rowling
657,"So I wrote an Diri Dir – Stairs of Steel for him, and kept on doing so.",,,Jack Kerouac
777,"In 2007, to coincide with the 50th anniversary of On the Road's publishing, Viking issued two new editions:",,,Jack Kerouac
1077,"Rowling's contribution was an 800-word Harry Potter prequel that concerns Harry's father, James Potter, and godfather, Sirius Black, and takes place three years before Harry was born.",,,J.K. Rowling
1061,"The book was purchased for £1.95 million by on-line bookseller Amazon.com on 13 December 2007, becoming the most expensive modern book ever sold at auction.",,,J.K. Rowling
1182,"Harry Potter and the Order of the Phoenix (21 June 2003)
Harry Potter and the Half-Blood Prince (16 July 2005)
Harry Potter and the Deathly Hallows (21 July 2007)


",,,J.K. Rowling
465,"—stories, tall tales, novels, travelogues, plays, imaginative journalism, speeches, sketches, satires, burlesques, and much more—to readers.
",,,Mark Twain
404,"They related to the stage and condition of the river, and were accurate and valuable; ... At the time that the telegraph brought the news of his death, I was on the Pacific coast.",,,Mark Twain
279,"In 1905, the Brooklyn Public Library banned both The Adventures of Huckleberry Finn and The Adventures of Tom Sawyer from the children's department because of their language.


",,,Mark Twain
1173,"Hans Christian Andersen Literature Award, inaugural award winner
2011: British Academy Film Awards, Outstanding British Contribution to Cinema for the Harry Potter film series, shared with David Heyman, cast and crew
2012: Freedom of the City of London
2012:",,,J.K. Rowling
470,Boston:,,,Mark Twain
250,"The Tragedy of Pudd'nhead Wilson and the Comedy of The Extraordinary Twins.
",,,Mark Twain
740,"In the 1980s, the city of San Francisco named a one-way street, Jack Kerouac Alley, in his honor in Chinatown.
",,,Jack Kerouac
1059,"In January 2006, Rowling went to Bucharest to highlight the use of caged beds in mental institutions for children.",,,J.K. Rowling
864,"She attended secondary school at Wyedean School and College, where her mother worked in the science department.",,,J.K. Rowling
739,An annual Kerouac festival was established in Lanmeur in 2010.,,,Jack Kerouac
480,"March 12, 1922 – October 21, 1969) was an American novelist and poet of French-Canadian descent.
",,,Jack Kerouac
796,=== Notes =,,,Jack Kerouac
986,"In October 2012, a New Yorker magazine article stated that the Rowling family lived in a seventeenth-century Edinburgh house, concealed at the front by tall conifer hedges.",,,J.K. Rowling
226,"Four hundred manuscript pages were written in mid-1876, right after the publication of Tom Sawyer.",,,Mark Twain
71,He owned a stake in the Buffalo Express newspaper and worked as an editor and writer.,,,Mark Twain
931,"It too broke all sales records, selling nine million copies in its first 24 hours of release.",,,J.K. Rowling
655,Since he could not speak Breton he asked me : 'Would you not write some of your poems in English?,,,Jack Kerouac
187,"The Adventures of Huckleberry Finn has been repeatedly restricted in American high schools, not least for its frequent use of the word ""nigger"", which was in common usage in the pre-Civil War period in which the novel was set.
",,,Mark Twain
941,=== Harry Potter films ==,,,J.K. Rowling
934,In February 2007 it was reported that Rowling wrote on a bust in her hotel room at the Balmoral Hotel in Edinburgh that she had finished the seventh book in that room on 11 January 2007.,,,J.K. Rowling
530,"He also studied at The New School.


",,,Jack Kerouac
514,"Some of Kerouac's poetry was written in French, and in letters written to friend Allen Ginsberg towards the end of his life, he expressed a desire to speak his parents' native tongue again.",,,Jack Kerouac
1132,"In a 2012 radio interview, she said that she was a member of the Scottish Episcopal Church, a province of the Anglican Communion.
",,,J.K. Rowling
393,=,,,Mark Twain
783,"The Kerouac/Burroughs manuscript, And the Hippos Were Boiled in Their Tanks was published for the first time on November 1, 2008 by Grove Press.",And the Hippos Were Boiled in Their Tanks,2008.0,Jack Kerouac
377,"Measured by our Christianity of to-day, bad as it is, hypocritical as it is, empty and hollow as it is, neither the Deity nor his Son is a Christian, nor qualified for that moderately high place.",,,Mark Twain
246,"From November 12 to December 14, 1893, Twain wrote 60,000 words for the novel.",,,Mark Twain
1152,"On 24 November 2011, Rowling gave evidence before the inquiry; although she was not suspected to have been the victim of phone hacking, her testimony included accounts of photographers camping on her doorstep, her fiancé being duped into giving his home address to a journalist masquerading as a tax official, her chasing a journalist a week after giving birth, a journalist leaving a note inside her then-five-year-old daughter's schoolbag, and an attempt by The Sun to ""blackmail"" her into a photo opportunity in exchange for the return of a stolen manuscript.",,,J.K. Rowling
310,"In Following the Equator, Twain expresses ""hatred and condemnation of imperialism of all stripes"".",,,Mark Twain
895,"Rowling signed up for welfare benefits, describing her economic status as being ""poor as it is possible to be in modern Britain, without being homeless.""
",,,J.K. Rowling
1080,"Profits from the event were donated to the Haven Foundation, a charity that aids artists and performers left uninsurable and unable to work, and the medical NGO Médecins Sans Frontières.",,,J.K. Rowling
836,"== Life and career ==


=",,,J.K. Rowling
388,"=== Vivisection ===
Twain was opposed to the vivisection practices of his day.",,,Mark Twain
838,Her parents first met on a train departing from King's Cross Station bound for Arbroath in 1964.,,,J.K. Rowling
259,"He famously derided James Fenimore Cooper in his article detailing Cooper's ""Literary Offenses"".",,,Mark Twain
247,Critics have pointed to this rushed completion as the cause of the novel's rough organization and constant disruption of the plot.,,,Mark Twain
863,"Her headmaster at St Michael's, Alfred Dunn, has been suggested as the inspiration for the Harry Potter headmaster Albus Dumbledore.",,,J.K. Rowling
248,"This novel also contains the tale of two boys born on the same day who switch positions in life, like The Prince and the Pauper.",,,Mark Twain
1123,"She once said, ""I believe in God, not magic.""",,,J.K. Rowling
370,"Little Bessie, a story ridiculing Christianity, was first published in the 1972 collection Mark Twain's Fables of Man.
",Little Bessie,1972.0,Mark Twain
203,"After a burst of popularity, the Sacramento Union commissioned him to write letters about his travel experiences.",,,Mark Twain
1071,"For reasons unknown, Scotland, Rowling's country of adoption, has the highest rate of multiple sclerosis in the world.",,,J.K. Rowling
757,A feature film version of,,,Jack Kerouac
721,"It is like Ulysses and should be treated with the same gravity.""",,,Jack Kerouac
288,"He said the war with Spain in 1898 was ""the worthiest"" war ever fought.",,,Mark Twain
201,It was in these days that Twain became a writer of the Sagebrush School; he was known later as the most notable within the genre.,,,Mark Twain
804,"Jack Kerouac Papers at the Rare Book & Manuscript Library at Columbia University
Jack Kerouac Papers, 1920–1977, held by the Henry W. and Albert A. Berg Collection of English and American Literature, New York Public Library
",,,Jack Kerouac
214,"Old Times eventually became the starting point for Life on the Mississippi.


",,,Mark Twain
611,=,,,Jack Kerouac
565,"Heavily influenced by Kerouac's reading of Thomas Wolfe, it reflects on the generational epic formula and the contrasts of small town life versus the multi-dimensional, and larger life of the city.",,,Jack Kerouac
1220,"Rowling, J. K. (30 April 2009).",,,J.K. Rowling
1035,"== Subsequent Harry Potter publications ===

Rowling has said it is unlikely she will write any more books in the Harry Potter series.",,,J.K. Rowling
463,"Celebrated Writings of Mark Twain, University of California Press.",,,Mark Twain
847,==,,,J.K. Rowling
524,so my father went POOM! and knocked a rabbi right in the gutter.,,,Jack Kerouac
86,"Twain patented three inventions, including an ""Improvement in Adjustable and Detachable Straps for Garments"" (to replace suspenders) and a history trivia game.",,,Mark Twain
92,"Part of the footage was used in The Prince and the Pauper (1909), a two-reel short film.",,,Mark Twain
383,"He was initiated an Entered Apprentice on May 22, 1861, passed to the degree of Fellow Craft on June 12, and raised to the degree of Master Mason on July 10.
",,,Mark Twain
260,"He became an extremely outspoken critic of other authors and other critics; he suggested that, before praising Cooper's work, Thomas Lounsbury, Brander Matthews, and Wilkie Collins ""ought to have read some of it"".
",,,Mark Twain
1205,Selected Speeches 1997–2006.,,,J.K. Rowling
982,"Shortly after Rowling began writing Harry Potter and the Half-Blood Prince, she ceased working on the novel to care for David in his early infancy.
",,,J.K. Rowling
648,"John Antonelli's 1985 documentary Kerouac, the Movie begins and ends with footage of Kerouac reading from On the Road and Visions of Cody on The Steve Allen Plymouth Show in November 1959.",,,Jack Kerouac
11,"He chose to pay all his pre-bankruptcy creditors in full, even after he had no legal responsibility to do so.
",,,Mark Twain
1042,"""",,,J.K. Rowling
258,"During this time of dire financial straits, he published several literary reviews in newspapers to help make ends meet.",,,Mark Twain
694,It was at about the time of The Subterraneans that he was encouraged by Ginsberg and others to formally explain his style.,,,Jack Kerouac
1092,"==

Rowling has named communist and civil rights activist Jessica Mitford as her ""most influential writer"" saying, ""Jessica Mitford has been my heroine since I was 14 years old, when I overheard my formidable great-aunt discussing how Mitford had run away at the age of 19 to fight with the Reds in the Spanish Civil War"", and claims what inspired her about Mitford was that she was ""incurably and instinctively rebellious, brave, adventurous, funny and irreverent, she liked nothing better than a good fight, preferably against a pompous and hypocritical target"".",,,J.K. Rowling
256,"To pay the bills and keep his business projects afloat, Twain had begun to write articles and commentary furiously, with diminishing returns, but it was not enough.",,,Mark Twain
1055,"Since going on sale in March 2001, the books have raised £15.7 million for the fund.",,,J.K. Rowling
240,"At this time he also wrote ""The Private History of a Campaign That Failed"" for The Century Magazine.",,,Mark Twain
119,"In the second half of July 1896, he sailed back to England, completing his circumnavigation of the world begun 14 months before.
",,,Mark Twain
1082,"Rowling, along with Nelson Mandela, Al Gore, and Alan Greenspan, wrote an introduction to a collection of Gordon Brown's speeches, the proceeds of which were donated to the Jennifer Brown Research Laboratory.",,,J.K. Rowling
1119,== Religion =,,,J.K. Rowling
704,Kerouac refers to this short novel in a letter addressed to Neal Cassady (who is commonly known as the inspiration for the character Dean Moriarty) dated 10 January 1953.,,,Jack Kerouac
316,"During the Philippine–American War, Twain wrote a short pacifist story titled The War Prayer, which makes the point that humanism and Christianity's preaching of love are incompatible with the conduct of war.",,,Mark Twain
422,=,,,Mark Twain
1159,"The injunction drew fire from civil liberties and free speech campaigners and sparked debates over the ""right to read"".


",,,J.K. Rowling
500,"Another version was that the Kerouacs had come to Cornwall from Ireland before the time of Christ and the name meant ""language of the house"".",,,Jack Kerouac
960,"The press has repeatedly claimed that Rowling played a role in his departure, but Rowling stated that she had no say in who directed the films and would not have vetoed Spielberg.",,,J.K. Rowling
271,"Twain's last work was his autobiography, which he dictated and thought would be most entertaining if he went off on whims and tangents in non-chronological order.",,,Mark Twain
26,"In 1851 he began working as a typesetter, contributing articles and humorous sketches to the Hannibal Journal, a newspaper that Orion owned.",,,Mark Twain
376,"In it, he said:

There is one notable thing about our Christianity: bad, bloody, merciless, money-grabbing, and predatory as it is – in our country particularly and in all other Christian countries in a somewhat modified degree – it is still a hundred times better than the Christianity of the Bible, with its prodigious crime – the invention of Hell.",,,Mark Twain
936,It sold 11 million copies in the first day of release in the United Kingdom and United States.,,,J.K. Rowling
452,–,,,Mark Twain
875,"===
",,,J.K. Rowling
527,"He entered Columbia University after spending a year at Horace Mann School, where he earned the requisite grades for entry to Columbia.",,,Jack Kerouac
55,"He may have been romantically involved with the poet Ina Coolbrith.
",,,Mark Twain
420,"I was proud of my performance for a while, and considered it quite wonderful, but I have changed my opinion of it long ago.",,,Mark Twain
294,"We can make them as free as ourselves, give them a government and country of their own, put a miniature of the American Constitution afloat in the Pacific, start a brand new republic to take its place among the free nations of the world.",,,Mark Twain
358,"Twain generally avoided publishing his most controversial opinions on religion in his lifetime, and they are known from essays and stories that were published later.",,,Mark Twain
666,"He suddenly felt nauseated and walked to the bathroom, where he began to vomit blood.",,,Jack Kerouac
678,"Later, Kerouac included ideas he developed from his Buddhist studies that began with Gary Snyder.",,,Jack Kerouac
816,"There were six sequels, of which the last, Harry Potter and the Deathly Hallows, was released in 2007.",Harry Potter and the Deathly Hallows,2007,J.K. Rowling
499,In one interview he claimed it was from the name of the Cornish language (Kernewek) and that the Kerouacs had fled from Cornwall to Brittany.,,,Jack Kerouac
409,"That is the history of the nom de plume I bear.""
",,,Mark Twain
112,"It was a long, arduous journey and he was sick much of the time, mostly from a cold and a carbuncle.",,,Mark Twain
815,"The seven-year period that followed saw the death of her mother, birth of her first child, divorce from her first husband and relative poverty until the first novel in the series, Harry Potter and the Philosopher's Stone, was published in 1997.",Harry Potter and the Philosopher's Stone,1997,J.K. Rowling
665,"At eleven o'clock, on the morning of October 20, 1969, in St. Petersburg, Florida, Kerouac was sitting in his favorite chair drinking whiskey and malt liquor, working on a book about his father's print shop in Lowell, Massachusetts.",,,Jack Kerouac
